timeMs,evt,a,b,c,d,s
448818,1,0,18,23.2442323153928,1.36967185011149,CL
448818,5,0.688941921151806,1.5,-0.819270071040313,1.36967185011149,
448818,2,0,1,18,0,MEDIUM
451922,1,1,19.4,21.7454858874324,1.75833782851361,CL
451922,5,1.0636285281419,1.5,-0.805290699628288,1.75833782851361,
455261,1,1,18,20.172846950842,2.15529180892783,CL
455261,5,1.45678826228949,1.5,-0.801496453361668,2.15529180892783,
455261,2,1,2,18,0,LOW
458234,1,2,30.3,24.4024367071996,1.54016631093461,CL
458234,5,0.399390823200106,1.5,-0.359224512265498,1.54016631093461,
461232,1,2,30.1,26.7825418844188,-1.82434140243581,CL
461232,5,-0.195635471104694,-1.5,-0.128705931331118,-1.82434140243581,
464239,1,2,30,28.1276876447148,-2.04521027222385,CL
464239,5,-0.53192191117869,-1.5,-0.0132883610451623,-2.04521027222385,
464239,2,2,0,30,0,MEDIUM
465220,1,0,30.6,28.9693776585006,-2.08463710070411,CL
465220,5,-0.742344414625142,-1.5,0.157707313921032,-2.08463710070411,
465481,4,0,30.6,26,0,MEDIUM
466792,1,0,22.9,26.2316127821313,-1.51158063910656,CL
466792,5,-0.0579031955328233,-1.5,0.0463225564262586,-1.51158063910656,
467811,1,0,29.5,27.4981198203949,-1.58417050230499,CL
467811,5,-0.374529955098713,-1.5,0.290359452793719,-1.58417050230499,
468889,1,0,27.9,27.6312381430467,-1.64889830899633,CL
468889,5,-0.407809535761682,-1.5,0.258911226765351,-1.64889830899633,
470108,1,0,24.7,26.7171769356742,-1.65497749398077,CL
470108,5,-0.179294233918543,-1.5,0.0243167399377688,-1.65497749398077,
471533,1,0,21.1,24.9623692833749,1.42789954064663,CL
471533,5,0.259407679156264,1.5,-0.331508138509631,1.42789954064663,
472565,1,0,29.1,26.1771193163828,-1.22332607904325,CL
472565,5,-0.0442798290956903,-1.15678974574142,-0.0222565042061409,-1.22332607904325,
473743,1,0,25.5,25.9797549110696,-0.905330223979854,CL
473743,5,0.00506127223260844,-0.853113411784911,-0.0572780844275517,-0.905330223979854,
474732,1,0,30.4,27.2208288073631,-1.60281489012411,CL
474732,5,-0.305207201840768,-1.5,0.20239231171666,-1.60281489012411,
475740,1,0,29.8,27.9331597516025,-1.67890989967941,CL
475740,5,-0.483289937900635,-1.5,0.304380038221221,-1.67890989967941,
476728,1,0,30.4,28.6059160821991,-1.77342372385349,CL
476728,5,-0.651479020549785,-1.5,0.378055296696297,-1.77342372385349,
477726,1,0,30.1,29.0114300201853,-1.86931048009205,CL
477726,5,-0.752857505046316,-1.5,0.383547024954262,-1.86931048009205,
478754,1,0,29.2,29.0627796658937,-1.94858736736833,CL
478754,5,-0.765694916473436,-1.5,0.317107549105106,-1.94858736736833,
479738,1,0,30.5,29.4514780843519,-2.03144379811226,CL
479738,5,-0.862869521087966,-1.5,0.331425722975709,-2.03144379811226,
480991,1,0,24,27.9057654755288,-2.02044331226625,CL
480991,5,-0.476441368882205,-1.5,-0.0440019433840415,-2.02044331226625,
482113,1,0,26.8,27.592243111903,-1.99596680540815,CL
482113,5,-0.398060777975759,-1.5,-0.0979060274323897,-1.99596680540815,
483466,1,0,22.2,26.0004743574587,-1.89679716219945,CL
483466,5,-0.000118589364673127,-1.5,-0.396678572834781,-1.89679716219945,
484962,1,0,20.1,24.1839497331908,1.2733647835809,CL
484962,5,0.454012566702295,1.5,-0.680647783121399,1.2733647835809,
486461,1,0,20.1,22.9015225788541,1.47361569792201,CL
486461,5,0.774619355286476,1.5,-0.801003657364464,1.47361569792201,
486461,2,0,1,20.1,0,MEDIUM
489260,1,1,21.5,22.3792949160809,1.71215057881088,CL
489260,5,0.905176270979776,1.5,-0.693025692168892,1.71215057881088,
491638,1,1,25.3,23.4863644124382,1.68469529279106,CL
491638,5,0.628408896890443,1.5,-0.44371360409938,1.68469529279106,
491638,2,1,2,25.3,0,LOW
495093,1,2,26.1,24.584446423947,1.57212297816767,CL
495093,5,0.35388839401326,1.5,-0.281765415845589,1.57212297816767,
500341,1,2,17.2,20.99675577503,2.28621934697157,CL
500341,5,1.25081105624251,1.5,-0.464591709270938,2.28621934697157,
505865,1,2,16.3,18.604314526065,2.81775191780267,CL
